time,device,device_activated
2016-07-01 04:23:32,device_6,1
2016-07-01 06:52:57,device_2,1
2016-07-01 06:53:00,device_2,1
2016-07-01 06:56:41,device_2,1
2016-07-01 07:00:01,device_6,1
2016-07-01 07:01:04,device_2,1
2016-07-01 07:01:18,device_2,1
2016-07-01 07:06:27,device_4,1
2016-07-01 07:15:23,device_2,1
2016-07-01 07:17:32,device_2,1
2016-07-01 07:21:30,device_2,1
2016-07-01 07:21:36,device_4,1
2016-07-01 07:21:56,device_2,1
2016-07-01 07:25:45,device_2,1
2016-07-01 07:27:24,device_6,1
2016-07-01 07:28:47,device_2,1
2016-07-01 07:31:53,device_2,1
2016-07-01 07:33:32,device_2,1
2016-07-01 07:38:01,device_6,1
2016-07-01 07:44:13,device_2,1
2016-07-01 07:44:15,device_2,1
2016-07-01 07:48:09,device_4,1
2016-07-01 07:48:15,device_6,1
2016-07-01 07:53:50,device_6,1
2016-07-01 07:55:10,device_4,1
2016-07-01 07:57:46,device_6,1
2016-07-01 08:00:44,device_2,1
2016-07-01 08:00:45,device_2,1
2016-07-01 08:04:58,device_6,1
2016-07-01 08:05:03,device_4,1
2016-07-01 08:07:57,device_3,1
2016-07-01 08:13:21,device_6,1
2016-07-01 08:13:27,device_5,1
2016-07-01 08:14:17,device_2,1
2016-07-01 08:14:17,device_2,1
2016-07-01 08:17:32,device_2,1
2016-07-01 08:18:29,device_6,1
2016-07-01 08:21:48,device_5,1
2016-07-01 08:27:57,device_4,1
2016-07-01 08:28:05,device_6,1
2016-07-01 08:30:23,device_5,1
2016-07-01 08:31:03,device_2,1
2016-07-01 08:36:39,device_4,1
2016-07-01 08:37:02,device_6,1
2016-07-01 08:45:02,device_3,1
2016-07-01 09:03:13,device_2,1
2016-07-01 09:22:33,device_2,1
2016-07-01 09:25:23,device_3,1
2016-07-01 09:50:13,device_2,1
2016-07-01 09:59:27,device_2,1
2016-07-01 10:02:53,device_3,1
2016-07-01 10:17:34,device_3,1
2016-07-01 10:31:17,device_3,1
2016-07-01 10:33:57,device_2,1
2016-07-01 10:40:08,device_3,1
2016-07-01 10:41:47,device_2,1
2016-07-01 10:43:52,device_2,1
2016-07-01 10:51:02,device_2,1
2016-07-01 10:54:22,device_3,1
2016-07-01 11:05:38,device_2,1
2016-07-01 11:21:53,device_2,1
2016-07-01 11:33:07,device_2,1
2016-07-01 11:33:21,device_3,1
2016-07-01 11:33:21,device_2,1
2016-07-01 11:58:02,device_2,1
2016-07-01 12:01:17,device_2,1
2016-07-01 12:01:24,device_3,1
2016-07-01 12:02:35,device_2,1
2016-07-01 12:10:43,device_2,1
2016-07-01 12:21:31,device_2,1
2016-07-01 12:28:20,device_2,1
2016-07-01 12:28:24,device_2,1
2016-07-01 12:41:55,device_2,1
2016-07-01 12:43:45,device_3,1
2016-07-01 12:52:13,device_2,1
2016-07-01 12:55:14,device_3,1
2016-07-01 12:59:54,device_3,1
2016-07-01 13:07:05,device_2,1
2016-07-01 13:13:56,device_3,1
