Day,DayOfWeek,Hour,device,activated
17,2,11,device_6,True
22,4,4,device_1,False
8,0,16,device_4,True
28,3,4,device_6,False
25,0,22,device_2,False
19,4,21,device_4,False
2,1,6,device_1,False
8,0,21,device_2,False
22,0,11,device_1,True
21,3,21,device_4,False
26,1,11,device_7,False
25,3,11,device_5,False
1,0,1,device_4,False
16,5,0,device_1,False
15,4,18,device_4,False
18,3,15,device_4,False
22,4,16,device_1,False
28,6,19,device_6,False
5,4,19,device_2,False
11,3,21,device_6,False
27,2,20,device_7,False
24,2,14,device_5,False
26,4,3,device_6,False
11,3,23,device_7,False
12,1,2,device_1,False
25,0,7,device_1,False
1,0,12,device_2,False
27,2,3,device_4,False
12,1,15,device_5,True
26,1,23,device_1,False
1,4,22,device_5,False
27,2,15,device_6,True
14,6,1,device_4,False
22,4,3,device_6,False
5,4,18,device_4,False
4,0,2,device_7,False
3,2,15,device_5,True
30,5,13,device_6,False
22,4,16,device_5,False
19,4,12,device_3,False
4,3,8,device_5,False
1,0,14,device_7,True
7,6,23,device_6,False
16,1,9,device_7,False
1,0,12,device_5,True
14,3,10,device_7,False
6,2,11,device_3,True
5,4,12,device_7,False
21,6,0,device_4,False
5,1,14,device_4,True
23,5,3,device_5,False
22,4,22,device_5,False
21,6,4,device_3,False
3,2,0,device_6,False
13,5,5,device_6,False
20,5,3,device_5,False
24,2,15,device_6,True
25,3,8,device_6,True
19,4,0,device_5,False
9,1,6,device_2,False
6,2,0,device_2,False
10,6,1,device_3,False
13,2,5,device_2,False
7,6,12,device_1,False
19,1,21,device_4,False
4,3,10,device_2,True
27,2,3,device_6,False
5,1,18,device_6,True
20,5,0,device_2,False
27,5,0,device_2,False
24,2,16,device_2,True
10,2,2,device_2,False
17,2,4,device_4,False
27,2,7,device_1,True
5,4,10,device_6,False
13,5,23,device_3,False
4,3,13,device_5,True
1,4,11,device_4,False
28,3,1,device_2,False
21,3,18,device_1,False
14,6,7,device_1,False
4,0,11,device_7,False
29,0,8,device_4,True
24,6,23,device_3,False
28,3,5,device_7,False
17,2,16,device_4,False
10,6,11,device_5,False
25,0,21,device_3,False
29,0,0,device_7,False
25,0,16,device_6,True
21,3,14,device_4,True
31,6,6,device_1,False
26,1,23,device_6,False
8,4,6,device_3,False
20,2,8,device_2,False
6,2,18,device_1,False
15,0,6,device_2,False
15,0,23,device_5,False
26,4,0,device_6,False
18,3,12,device_4,False
15,0,8,device_6,False
30,1,1,device_2,False
5,1,0,device_7,False
2,1,5,device_2,False
16,1,16,device_3,False
11,3,6,device_4,False
26,4,2,device_4,False
2,5,12,device_3,False
9,1,5,device_3,False
7,3,19,device_6,False
1,0,23,device_3,False
15,4,22,device_5,False
8,0,6,device_2,False
